"local","parcela","arvore","fuste","cap","h","especie"
"chauas",1,1,1,210,80,"Myrcia sulfiflora"
"chauas",1,3,1,170,80,"Myrcia sulfiflora"
"chauas",1,4,1,720,70,"Syagrus romanzoffianus"
"chauas",1,5,1,200,80,"Tabebuia cassinoides"
"chauas",1,6,1,750,170,"indet.1"
"chauas",1,7,1,320,80,"Myrcia sulfiflora"
"chauas",1,8,1,480,160,"Tabebuia cassinoides"
"chauas",1,9,1,240,140,"Tabebuia cassinoides"
"chauas",1,10,1,290,120,"Tabebuia cassinoides"
"chauas",1,10,2,310,120,"Tabebuia cassinoides"
"chauas",1,10,3,230,120,"Tabebuia cassinoides"
"chauas",1,11,1,210,80,"Tabebuia cassinoides"
"chauas",1,12,1,240,70,"Myrcia sulfiflora"
"chauas",1,13,1,250,80,"Myrcia sulfiflora"
"chauas",1,14,1,160,100,"Tabebuia cassinoides"
"chauas",1,14,2,230,100,"Tabebuia cassinoides"
"chauas",1,14,3,320,100,"Tabebuia cassinoides"
"chauas",1,15,1,410,160,"Tabebuia cassinoides"
"chauas",1,16,1,600,140,"myrtaceae4"
"chauas",1,17,1,240,100,"Tabebuia cassinoides"
"chauas",1,17,2,180,100,"Tabebuia cassinoides"
"chauas",1,17,3,200,100,"Tabebuia cassinoides"
"chauas",1,17,4,430,100,"Tabebuia cassinoides"
"chauas",1,18,1,210,90,"Myrcia sulfiflora"
"chauas",1,19,1,390,80,"Tabebuia cassinoides"
"chauas",1,20,1,310,90,"Tabebuia cassinoides"
"chauas",1,20,2,240,90,"Tabebuia cassinoides"
"chauas",1,21,1,520,150,"myrtaceae1"
"chauas",1,21,2,450,150,"myrtaceae1"
"chauas",1,22,1,230,80,"indet.2"
"chauas",1,23,1,670,230,"Tabebuia cassinoides"
"chauas",1,24,1,240,100,"Tabebuia cassinoides"
"chauas",1,24,2,310,100,"Tabebuia cassinoides"
"chauas",1,24,3,220,100,"Tabebuia cassinoides"
"chauas",1,25,1,270,110,"Tabebuia cassinoides"
"chauas",1,25,2,170,110,"Tabebuia cassinoides"
"chauas",1,26,1,350,90,"Tabebuia cassinoides"
"chauas",1,27,1,320,60,"Myrcia sulfiflora"
"chauas",1,28,1,220,60,"Myrcia sulfiflora"
"chauas",1,29,1,390,150,"Tabebuia cassinoides"
"chauas",1,29,2,350,150,"Tabebuia cassinoides"
"chauas",1,30,1,290,120,"Tabebuia cassinoides"
"chauas",1,30,2,260,120,"Tabebuia cassinoides"
"chauas",1,30,3,200,120,"Tabebuia cassinoides"
"chauas",1,31,1,240,110,"Tabebuia cassinoides"
"chauas",1,31,2,340,110,"Tabebuia cassinoides"
"chauas",1,31,3,310,110,"Tabebuia cassinoides"
"chauas",1,32,1,200,70,"Tabebuia cassinoides"
"chauas",1,32,2,200,70,"Tabebuia cassinoides"
"chauas",1,33,1,220,90,"Tabebuia cassinoides"
"chauas",1,33,2,240,90,"Tabebuia cassinoides"
"chauas",1,34,1,160,90,"Psidium sp"
"chauas",1,34,2,160,90,"Psidium sp"
"chauas",1,34,3,170,90,"Psidium sp"
"chauas",1,35,1,230,70,"Tabebuia cassinoides"
"chauas",1,35,2,310,70,"Tabebuia cassinoides"
"chauas",1,36,1,340,110,"Tabebuia cassinoides"
"chauas",1,36,2,210,110,"Tabebuia cassinoides"
"chauas",1,37,1,270,100,"Tabebuia cassinoides"
"chauas",1,38,1,330,90,"Tabebuia cassinoides"
"chauas",1,39,1,450,120,"Tabebuia cassinoides"
"chauas",1,39,2,160,120,"Tabebuia cassinoides"
"chauas",1,39,3,350,120,"Tabebuia cassinoides"
"chauas",1,40,1,320,60,"Myrcia sulfiflora"
"chauas",1,41,1,340,90,"Tabebuia cassinoides"
"chauas",1,41,2,280,90,"Tabebuia cassinoides"
"chauas",1,42,1,200,80,"Tabebuia cassinoides"
"chauas",1,43,1,270,50,"Myrcia sulfiflora"
"chauas",1,44,1,300,90,"Tabebuia cassinoides"
"chauas",1,44,2,220,90,"Tabebuia cassinoides"
"chauas",1,45,1,250,80,"Coussapoa micropoda"
"chauas",1,45,2,220,80,"Coussapoa micropoda"
"chauas",1,46,1,230,60,"Tabebuia cassinoides"
"chauas",1,46,2,150,60,"Tabebuia cassinoides"
"chauas",1,47,1,200,60,"Myrcia sulfiflora"
"chauas",1,47,2,160,60,"Myrcia sulfiflora"
"chauas",1,48,1,680,160,"myrtaceae1"
"chauas",2,49,1,290,110,"Myrcia sulfiflora"
"chauas",2,49,2,280,110,"Myrcia sulfiflora"
"chauas",2,50,1,440,170,"Tabebuia cassinoides"
"chauas",2,51,1,260,120,"Myrcia sulfiflora"
"chauas",2,51,2,280,120,"Myrcia sulfiflora"
"chauas",2,52,1,280,100,"Tabebuia cassinoides"
"chauas",2,52,2,300,100,"Tabebuia cassinoides"
"chauas",2,52,3,250,100,"Tabebuia cassinoides"
"chauas",2,53,1,150,30,"Myrcia sulfiflora"
"chauas",2,54,1,380,40,"Tabebuia cassinoides"
"chauas",2,54,2,440,40,"Tabebuia cassinoides"
"chauas",2,54,3,350,40,"Tabebuia cassinoides"
"chauas",2,54,4,340,40,"Tabebuia cassinoides"
"chauas",2,54,5,390,40,"Tabebuia cassinoides"
"chauas",2,55,1,210,70,"Tabebuia cassinoides"
"chauas",2,56,1,160,50,"Tabebuia cassinoides"
"chauas",2,57,1,210,80,"Myrcia sulfiflora"
"chauas",2,58,1,280,80,"Tabebuia cassinoides"
"chauas",2,59,1,260,70,"Tabebuia cassinoides"
"chauas",2,59,2,180,70,"Tabebuia cassinoides"
"chauas",2,59,3,220,70,"Tabebuia cassinoides"
"chauas",2,60,1,300,80,"Tabebuia cassinoides"
"chauas",2,61,1,210,70,"Tabebuia cassinoides"
"chauas",2,61,2,160,70,"Tabebuia cassinoides"
"chauas",2,62,1,300,80,"Tabebuia cassinoides"
"chauas",2,62,2,270,80,"Tabebuia cassinoides"
"chauas",2,62,3,170,80,"Tabebuia cassinoides"
"chauas",2,63,1,200,70,"Tabebuia cassinoides"
"chauas",2,63,2,230,70,"Tabebuia cassinoides"
"chauas",2,64,1,150,50,"Tibouchina nutticeps"
"chauas",2,65,1,220,40,"Tabebuia cassinoides"
"chauas",2,65,2,190,40,"Tabebuia cassinoides"
"chauas",2,66,1,180,30,"Myrcia sulfiflora"
"chauas",2,67,1,240,80,"Tabebuia cassinoides"
"chauas",2,68,1,380,60,"Tabebuia cassinoides"
"chauas",2,68,2,250,60,"Tabebuia cassinoides"
"chauas",2,69,1,200,60,"Myrcia sulfiflora"
"chauas",2,70,1,230,30,"Tibouchina nutticeps"
"chauas",2,71,1,340,90,"Myrcia sulfiflora"
"chauas",2,72,1,160,60,"Tabebuia cassinoides"
"chauas",2,72,1,150,60,"Tabebuia cassinoides"
"chauas",2,73,1,200,80,"Tabebuia cassinoides"
"chauas",2,74,1,540,110,"Tabebuia cassinoides"
"chauas",2,75,1,300,80,"Tabebuia cassinoides"
"chauas",2,75,2,230,80,"Tabebuia cassinoides"
"chauas",2,76,1,410,90,"Tabebuia cassinoides"
"chauas",2,77,1,320,60,"Myrcia sulfiflora"
"chauas",2,78,1,160,40,"Tabebuia cassinoides"
"chauas",2,79,1,290,30,"myrtaceae2"
"chauas",2,80,1,210,70,"Myrcia sulfiflora"
"chauas",2,81,1,350,110,"Tabebuia cassinoides"
"chauas",2,82,1,280,80,"Myrcia sulfiflora"
"chauas",2,83,1,1020,140,"Callophyllum brasiliensis"
"chauas",2,84,1,250,70,"Tabebuia cassinoides"
"chauas",2,84,2,170,70,"Tabebuia cassinoides"
"chauas",2,84,3,210,70,"Tabebuia cassinoides"
"chauas",2,85,1,380,100,"Tabebuia cassinoides"
"chauas",2,86,1,280,60,"Tabebuia cassinoides"
"chauas",2,87,1,390,90,"myrtaceae1"
"chauas",2,88,1,210,80,"Tabebuia cassinoides"
"chauas",2,88,2,240,80,"Tabebuia cassinoides"
"chauas",2,89,1,190,60,"Tabebuia cassinoides"
"chauas",2,89,1,270,60,"Tabebuia cassinoides"
"chauas",2,90,1,320,100,"Tabebuia cassinoides"
"chauas",2,90,2,160,100,"Tabebuia cassinoides"
"chauas",2,90,3,180,100,"Tabebuia cassinoides"
"chauas",2,91,1,170,100,"Myrcia sulfiflora"
"chauas",2,92,1,160,50,"Tabebuia cassinoides"
"chauas",2,92,2,180,50,"Tabebuia cassinoides"
"chauas",2,92,3,150,50,"Tabebuia cassinoides"
"chauas",2,93,1,220,70,"Myrcia sulfiflora"
"chauas",2,94,1,520,110,"Tabebuia cassinoides"
"chauas",2,94,1,420,110,"Tabebuia cassinoides"
