"especie","rot","regiao","inv","faz","proj","talhao","parcela","arv","fuste","cap","ht","hdom","idade","carac","dap"
"E.grandis",1,"Botucatu",1995,36,33,1,1,1,1,57,27,NA,7.49315068,"N",18.143664
"E.grandis",1,"Botucatu",1995,36,33,1,1,2,2,43,26,NA,7.49315068,"N",13.687325
"E.grandis",1,"Botucatu",1995,36,33,1,1,3,3,49,30,NA,7.49315068,"N",15.597184
"E.grandis",1,"Botucatu",1995,36,33,1,1,4,4,18,13,NA,7.49315068,"N",5.729578
"E.grandis",1,"Botucatu",1995,36,33,1,1,6,6,47,28,NA,7.49315068,"N",14.960565
"E.grandis",1,"Botucatu",1995,36,33,1,1,8,8,66,31,31,7.49315068,"N",21.008452
"E.grandis",1,"Botucatu",1995,36,33,1,1,9,9,38,23,NA,7.49315068,"N",12.095776
"E.grandis",1,"Botucatu",1995,36,33,1,1,12,12,52,29,NA,7.49315068,"N",16.552114
"E.grandis",1,"Botucatu",1995,36,33,1,1,13,13,45,28,NA,7.49315068,"N",14.323945
"E.grandis",1,"Botucatu",1995,36,33,1,1,14,14,59,32,32,7.49315068,"N",18.780283
"E.grandis",1,"Botucatu",1995,36,33,1,1,32,32,59,31,31,7.49315068,"N",18.780283
"E.grandis",1,"Botucatu",1995,36,33,1,1,58,58,62,32,32,7.49315068,"N",19.735213
"E.grandis",1,"Botucatu",1995,36,33,1,1,70,71,66,31,31,7.49315068,"N",21.008452
"E.grandis",1,"Botucatu",1995,36,33,4,5,3,3,43,24,NA,7.54794521,"N",13.687325
"E.grandis",1,"Botucatu",1995,36,33,4,5,5,5,49,26,NA,7.54794521,"N",15.597184
"E.grandis",1,"Botucatu",1995,36,33,4,5,6,6,57,28,NA,7.54794521,"N",18.143664
"E.grandis",1,"Botucatu",1995,36,33,4,5,7,7,27,16,NA,7.54794521,"N",8.594367
"E.grandis",1,"Botucatu",1995,36,33,4,5,8,8,40,27,NA,7.54794521,"N",12.732395
"E.grandis",1,"Botucatu",1995,36,33,4,5,9,9,65,28,NA,7.54794521,"N",20.690143
"E.grandis",1,"Botucatu",1995,36,33,4,5,10,10,65,21,NA,7.54794521,"N",20.690143
"E.grandis",1,"Botucatu",1995,36,33,4,5,12,12,40,27,NA,7.54794521,"N",12.732395
"E.grandis",1,"Botucatu",1995,36,33,4,5,13,13,79,29,29.5,7.54794521,"N",25.146481
"E.grandis",1,"Botucatu",1995,36,33,4,5,14,14,55,28,NA,7.54794521,"N",17.507044
"E.grandis",1,"Botucatu",1995,36,33,4,5,33,33,67,28,28,7.54794521,"N",21.326762
"E.grandis",1,"Botucatu",1995,36,33,4,5,43,43,71,28.5,28.5,7.54794521,"N",22.600002
"E.grandis",1,"Botucatu",1995,36,33,4,5,57,57,68,28,28,7.54794521,"N",21.645072
"E.grandis",1,"Botucatu",1995,36,33,4,5,58,58,68,28,28,7.54794521,"N",21.645072
"E.grandis",1,"Botucatu",1995,36,33,4,19,1,1,57,25,25,7.54794521,"N",18.143664
"E.grandis",1,"Botucatu",1995,36,33,4,19,2,2,49,25,NA,7.54794521,"N",15.597184
"E.grandis",1,"Botucatu",1995,36,33,4,19,3,3,57,25,NA,7.54794521,"N",18.143664
"E.grandis",1,"Botucatu",1995,36,33,4,19,4,4,50,24,NA,7.54794521,"N",15.915494
"E.grandis",1,"Botucatu",1995,36,33,4,19,5,5,42,21,NA,7.54794521,"N",13.369015
"E.grandis",1,"Botucatu",1995,36,33,4,19,6,6,34,20,NA,7.54794521,"N",10.822536
"E.grandis",1,"Botucatu",1995,36,33,4,19,7,7,42,22,NA,7.54794521,"N",13.369015
"E.grandis",1,"Botucatu",1995,36,33,4,19,8,8,50,24,NA,7.54794521,"N",15.915494
"E.grandis",1,"Botucatu",1995,36,33,4,19,10,10,57,25,NA,7.54794521,"N",18.143664
"E.grandis",1,"Botucatu",1995,36,33,4,19,11,11,39,22,NA,7.54794521,"N",12.414086
"E.grandis",1,"Botucatu",1995,36,33,4,19,12,12,59,26,26,7.54794521,"N",18.780283
"E.grandis",1,"Botucatu",1995,36,33,4,19,38,38,59,26.5,26.5,7.54794521,"N",18.780283
"E.grandis",1,"Botucatu",1995,36,33,4,19,44,44,58,26,26,7.54794521,"N",18.461973
"E.grandis",1,"Botucatu",1995,36,33,4,19,51,51,58,23.5,23.5,7.54794521,"N",18.461973
"E.grandis",1,"Botucatu",1995,36,33,4,20,1,1,69,27,27.5,7.54794521,"N",21.963382
"E.grandis",1,"Botucatu",1995,36,33,4,20,3,3,65,29,29,7.54794521,"N",20.690143
"E.grandis",1,"Botucatu",1995,36,33,4,20,4,4,46,23,NA,7.54794521,"N",14.642255
"E.grandis",1,"Botucatu",1995,36,33,4,20,5,5,58,26,NA,7.54794521,"N",18.461973
"E.grandis",1,"Botucatu",1995,36,33,4,20,7,7,35,21,NA,7.54794521,"N",11.140846
"E.grandis",1,"Botucatu",1995,36,33,4,20,8,8,59,28,NA,7.54794521,"N",18.780283
"E.grandis",1,"Botucatu",1995,36,33,4,20,9,9,57,29,NA,7.54794521,"N",18.143664
"E.grandis",1,"Botucatu",1995,36,33,4,20,10,10,19,12,NA,7.54794521,"N",6.047888
"E.grandis",1,"Botucatu",1995,36,33,4,20,11,11,68,28,28.5,7.54794521,"N",21.645072
"E.grandis",1,"Botucatu",1995,36,33,4,20,12,12,50,27,NA,7.54794521,"N",15.915494
"E.grandis",1,"Botucatu",1995,36,33,4,20,40,40,73,28,28,7.54794521,"N",23.236622
"E.grandis",1,"Botucatu",1995,36,33,4,20,63,63,80,29.5,29.5,7.54794521,"N",25.464791
"E.grandis",1,"Botucatu",1995,36,33,4,21,2,2,65,27,27.5,7.54794521,"N",20.690143
"E.grandis",1,"Botucatu",1995,36,33,4,21,3,3,63,25,NA,7.54794521,"N",20.053523
"E.grandis",1,"Botucatu",1995,36,33,4,21,4,4,49,25,NA,7.54794521,"N",15.597184
"E.grandis",1,"Botucatu",1995,36,33,4,21,5,5,37,18,NA,7.54794521,"N",11.777466
"E.grandis",1,"Botucatu",1995,36,33,4,21,6,6,45,27,NA,7.54794521,"N",14.323945
"E.grandis",1,"Botucatu",1995,36,33,4,21,8,8,46,23,NA,7.54794521,"N",14.642255
"E.grandis",1,"Botucatu",1995,36,33,4,21,10,10,48,24,NA,7.54794521,"N",15.278875
"E.grandis",1,"Botucatu",1995,36,33,4,21,11,11,48,25,NA,7.54794521,"N",15.278875
"E.grandis",1,"Botucatu",1995,36,33,4,21,13,13,67,28,28.5,7.54794521,"N",21.326762
"E.grandis",1,"Botucatu",1995,36,33,4,21,16,16,57,27,NA,7.54794521,"N",18.143664
"E.grandis",1,"Botucatu",1995,36,33,4,21,21,21,69,29.5,29.5,7.54794521,"N",21.963382
"E.grandis",1,"Botucatu",1995,36,33,4,21,46,46,67,27,27,7.54794521,"N",21.326762
"E.grandis",1,"Botucatu",1995,36,33,4,21,59,59,67,28.5,28.5,7.54794521,"N",21.326762
"E.grandis",1,"Botucatu",1995,36,33,4,23,1,1,52,21,NA,7.54794521,"N",16.552114
"E.grandis",1,"Botucatu",1995,36,33,4,23,4,4,47,23,NA,7.54794521,"N",14.960565
"E.grandis",1,"Botucatu",1995,36,33,4,23,6,6,58,24,NA,7.54794521,"N",18.461973
"E.grandis",1,"Botucatu",1995,36,33,4,23,7,7,41,22,NA,7.54794521,"N",13.050705
"E.grandis",1,"Botucatu",1995,36,33,4,23,8,8,60,22,NA,7.54794521,"N",19.098593
"E.grandis",1,"Botucatu",1995,36,33,4,23,10,10,66,22,NA,7.54794521,"N",21.008452
"E.grandis",1,"Botucatu",1995,36,33,4,23,12,12,51,22,NA,7.54794521,"N",16.233804
"E.grandis",1,"Botucatu",1995,36,33,4,23,13,13,89,28,28.5,7.54794521,"N",28.32958
"E.grandis",1,"Botucatu",1995,36,33,4,23,15,15,53,24,NA,7.54794521,"N",16.870424
"E.grandis",1,"Botucatu",1995,36,33,4,23,16,16,70,28,28,7.54794521,"N",22.281692
"E.grandis",1,"Botucatu",1995,36,33,4,23,24,24,69,29,29,7.54794521,"N",21.963382
"E.grandis",1,"Botucatu",1995,36,33,4,23,38,38,70,27.5,27.5,7.54794521,"N",22.281692
"E.grandis",1,"Botucatu",1995,36,33,4,23,63,63,75,28,28,7.54794521,"N",23.873241
"E.grandis",1,"Botucatu",1995,36,33,6,3,1,1,49,25,NA,7.51780822,"N",15.597184
"E.grandis",1,"Botucatu",1995,36,33,6,3,2,2,67,29,NA,7.51780822,"N",21.326762
"E.grandis",1,"Botucatu",1995,36,33,6,3,3,3,28,11,NA,7.51780822,"N",8.912677
"E.grandis",1,"Botucatu",1995,36,33,6,3,4,4,55,27,NA,7.51780822,"N",17.507044
"E.grandis",1,"Botucatu",1995,36,33,6,3,5,5,82,31,31,7.51780822,"N",26.101411
"E.grandis",1,"Botucatu",1995,36,33,6,3,6,6,70,29,NA,7.51780822,"N",22.281692
"E.grandis",1,"Botucatu",1995,36,33,6,3,7,7,25,10,NA,7.51780822,"N",7.957747
"E.grandis",1,"Botucatu",1995,36,33,6,3,8,8,60,30,NA,7.51780822,"N",19.098593
"E.grandis",1,"Botucatu",1995,36,33,6,3,9,9,50,26,NA,7.51780822,"N",15.915494
"E.grandis",1,"Botucatu",1995,36,33,6,3,10,10,53,29,NA,7.51780822,"N",16.870424
"E.grandis",1,"Botucatu",1995,36,33,6,3,11,11,80,31,31,7.51780822,"N",25.464791
"E.grandis",1,"Botucatu",1995,36,33,6,3,16,16,72,30.5,30.5,7.51780822,"N",22.918312
"E.grandis",1,"Botucatu",1995,36,33,6,3,43,43,71,30,30,7.51780822,"N",22.600002
"E.grandis",1,"Botucatu",1995,36,33,6,3,66,66,80,32,32,7.51780822,"N",25.464791
"E.grandis",1,"Botucatu",1995,36,33,6,6,1,1,36,21,NA,7.53150685,"N",11.459156
"E.grandis",1,"Botucatu",1995,36,33,6,6,3,3,38,24,NA,7.53150685,"N",12.095776
"E.grandis",1,"Botucatu",1995,36,33,6,6,4,4,63,28,NA,7.53150685,"N",20.053523
"E.grandis",1,"Botucatu",1995,36,33,6,6,5,5,49,27,NA,7.53150685,"N",15.597184
"E.grandis",1,"Botucatu",1995,36,33,6,6,6,6,40,25,NA,7.53150685,"N",12.732395
"E.grandis",1,"Botucatu",1995,36,33,6,6,7,7,49,26,NA,7.53150685,"N",15.597184
"E.grandis",1,"Botucatu",1995,36,33,6,6,8,8,43,26,NA,7.53150685,"N",13.687325
"E.grandis",1,"Botucatu",1995,36,33,6,6,9,9,66,29,29,7.53150685,"N",21.008452
"E.grandis",1,"Botucatu",1995,36,33,6,6,10,10,41,25,NA,7.53150685,"N",13.050705
"E.grandis",1,"Botucatu",1995,36,33,6,6,11,11,31,22,NA,7.53150685,"N",9.867606
"E.grandis",1,"Botucatu",1995,36,33,6,6,36,36,75,28.5,28.5,7.53150685,"N",23.873241
"E.grandis",1,"Botucatu",1995,36,33,6,6,57,57,66,27,27,7.53150685,"N",21.008452
"E.grandis",1,"Botucatu",1995,36,33,6,6,61,61,71,28.5,28.5,7.53150685,"N",22.600002
"E.grandis",1,"Botucatu",1995,36,33,6,6,65,65,71,27.5,27.5,7.53150685,"N",22.600002
"E.grandis",1,"Botucatu",1995,36,33,6,7,1,1,46,25,NA,7.53150685,"N",14.642255
"E.grandis",1,"Botucatu",1995,36,33,6,7,2,2,59,27,NA,7.53150685,"N",18.780283
"E.grandis",1,"Botucatu",1995,36,33,6,7,3,3,37,19,NA,7.53150685,"N",11.777466
"E.grandis",1,"Botucatu",1995,36,33,6,7,4,4,58,26,NA,7.53150685,"N",18.461973
"E.grandis",1,"Botucatu",1995,36,33,6,7,5,5,55,25,NA,7.53150685,"N",17.507044
"E.grandis",1,"Botucatu",1995,36,33,6,7,6,6,38,19,NA,7.53150685,"N",12.095776
"E.grandis",1,"Botucatu",1995,36,33,6,7,7,7,48,24,NA,7.53150685,"N",15.278875
"E.grandis",1,"Botucatu",1995,36,33,6,7,8,8,66,27,27.5,7.53150685,"N",21.008452
"E.grandis",1,"Botucatu",1995,36,33,6,7,9,9,59,27,NA,7.53150685,"N",18.780283
"E.grandis",1,"Botucatu",1995,36,33,6,7,10,10,34,20,NA,7.53150685,"N",10.822536
"E.grandis",1,"Botucatu",1995,36,33,6,7,16,17,70,28,28,7.53150685,"N",22.281692
"E.grandis",1,"Botucatu",1995,36,33,6,7,41,42,70,27,27,7.53150685,"N",22.281692
"E.grandis",1,"Botucatu",1995,36,33,6,7,51,52,68,27.5,27.5,7.53150685,"N",21.645072
"E.grandis",1,"Botucatu",1995,36,33,6,7,53,54,65,27,27,7.53150685,"N",20.690143
"E.grandis",1,"Botucatu",1995,36,33,6,8,1,1,55,27,NA,7.5260274,"N",17.507044
"E.grandis",1,"Botucatu",1995,36,33,6,8,2,2,47,23,NA,7.5260274,"N",14.960565
"E.grandis",1,"Botucatu",1995,36,33,6,8,3,3,25,17,NA,7.5260274,"N",7.957747
"E.grandis",1,"Botucatu",1995,36,33,6,8,4,4,52,26,NA,7.5260274,"N",16.552114
"E.grandis",1,"Botucatu",1995,36,33,6,8,5,5,70,29,29.5,7.5260274,"N",22.281692
"E.grandis",1,"Botucatu",1995,36,33,6,8,6,6,58,28,NA,7.5260274,"N",18.461973
"E.grandis",1,"Botucatu",1995,36,33,6,8,7,7,29,16,NA,7.5260274,"N",9.230987
"E.grandis",1,"Botucatu",1995,36,33,6,8,8,8,68,29,NA,7.5260274,"N",21.645072
"E.grandis",1,"Botucatu",1995,36,33,6,8,9,9,60,27,NA,7.5260274,"N",19.098593
"E.grandis",1,"Botucatu",1995,36,33,6,8,10,10,47,26,NA,7.5260274,"N",14.960565
"E.grandis",1,"Botucatu",1995,36,33,6,8,40,40,74,28.5,28.5,7.5260274,"N",23.554932
"E.grandis",1,"Botucatu",1995,36,33,6,8,47,47,74,27,27,7.5260274,"N",23.554932
"E.grandis",1,"Botucatu",1995,36,33,6,8,56,56,74,27.5,27.5,7.5260274,"N",23.554932
"E.grandis",1,"Botucatu",1995,36,33,6,8,58,58,69,27.5,27.5,7.5260274,"N",21.963382
